score,business,category,sequence,address,phone,email,email_unverified,website,observation,critical,response_ms
17,Tokyo Fried Chicken,restaurant,restaurant,801 South Olive Street,+1-213-278-0458,,,https://tokyofriedchicken.com/,"their site takes over 3 seconds to respond, measured from a data centre",Works on phones; Server response time; Tappable phone number; Way to get in touch; Local business listing data,3714
33,Pizza Next Door,fast_food,restaurant,806 (Unit B) West 8th Street,+1-213-622-6595,,,https://pizza-next-door-pizzanextdoorcom.weebly.com/,"their site loads desktop-width on a phone, so the text comes up too small to read",Works on phones; Tappable phone number; Way to get in touch; Local business listing data,551
42,Public School 213,bar,restaurant,612 South Flower St,,,,https://www.publicschool612.com/,their site takes 2.6s to respond before anything renders,Tappable phone number,2619
42,Proto Homes LLC,estate_agent,service,917 West 17th Street,+1-310-271-7544,,,https://www.theexhibitionrooms.com/,their site takes 1.6s to respond before anything renders,Tappable phone number; Way to get in touch; Local business listing data,1597
42,Galleria Market,supermarket,retail,3250 West Olympic Boulevard,+1-323-733-3800,,,https://galleriamarket.com/blog/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,411
42,Oali,perfumery,retail,1121 Santee Alley,+1-213-414-5412,,,https://exclusivearomaimports.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,1420
42,Tacos Mexico,fast_food,restaurant,913 South Broadway,,tony@tacosmexico.com,,https://tacosmexico.com/,their site takes 2.3s to respond before anything renders,Tappable phone number; Way to get in touch; Local business listing data,2266
50,Barry’s Ticket Service,ticket,service,1020 S Figueroa Street,+1-213-749-0057,support@barrystickets.com,,https://www.barrystickets.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,800
50,Jason's Wine & Spirits,alcohol,retail,110 East 9th Street,,,,https://jasonsliquor.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,320
50,Holbox,restaurant,restaurant,3655 South Grand Avenue,+1 213-986-9972,,,https://www.holboxla.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,1091
50,Choi Smog Test-Only Center,car_repair,service,3225 West Olympic Blvd,+1-213-365-0244,,,https://www.choismog.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,281
50,Park's BBQ,restaurant,restaurant,955 South Vermont Avenue,+1 213-380-1717,hello@parksbbq.com,,https://parksbbq.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,310
50,Mr. Brothers Cut Club - DLTA Barbershop,hairdresser,service,109 West 9th Street,+1-213-265-7645,,,https://mr-brothers-cutclub-us.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,403
50,Dab Nation,e-cigarette,service,1435 West Pico Boulevard,+1-833-832-6746,support@dabnation.com,,https://www.dabnation.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,273
50,Sweet Lady Jane,pastry,restaurant,612 South Flower Street,+1 213-685-1550,,,https://sweetladyjane.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,172
50,Hue Dental,dentist,service,3201 West Olympic Boulevard,+1 213-384-2828,info@huedentalca.com,,https://www.huedentalca.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,163
50,In The Meantime Men,ngo,service,2146 West Adams Boulevard,+1-323-733-4868,,inthemeantimemen@aol.com,https://www.inthemeantimemen.org/,their site takes 2.9s to respond before anything renders,Local business listing data,2908
50,La Pupusa Urban Eatery,restaurant,restaurant,1051 West Washington Boulevard,+1-213-749-4573,,hi@mystore.com,https://www.lapupusaurbana.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,321
50,Animal Rescue Center,veterinary,service,2901 Exposition Boulevard,+1 323-402-0039,,,https://www.theanimalrescuecenter.org/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,1380
58,Sugarfish,restaurant,restaurant,600 West 7th Street,,eat@sugarfishsushi.com,,https://sugarfishsushi.com/,their site takes 2.0s to respond before anything renders,Tappable phone number,2044
58,Simply Salad,fast_food,restaurant,645 (Suite #106) W. 9th St.,+1 213-488-9191,contact@simplysalad.com,,https://simplysalad.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,78
58,Ace Jewelry & Loan,jewelry,retail,,+1 213-622-3333,info@kingspawn.com,,https://kingspawn.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,788
58,Fountain LA,bar,restaurant,2889 West Olympic Boulevard,,,,https://thefountainla.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,1154
58,Peking Tavern,restaurant,restaurant,806 South Spring Street,,,,https://www.pekingtavern.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,285
58,Langer's,restaurant,restaurant,,+1 213-483-8050,,,https://www.langersdeli.com/,"their site takes over 3 seconds to respond, measured from a data centre",Server response time; Tappable phone number,3414
58,Asian Americans Advancing Justice - LA,consulting,service,1145 Wilshire Boulevard,+1-213-977-7500,,,https://ajsocal.org/,their site takes 1.5s to respond before anything renders,,1530
58,Northern Cafe,restaurant,restaurant,2904 South Figueroa Street,+1-213-741-9050,contact@northerncafe.us,,https://www.northerncafe.us/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,216
58,Viztango Cafe,restaurant,restaurant,3017 South Figueroa Street,+1-213-745-8050,,,https://www.viztango.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,461
58,BROKEN MOUTH,restaurant,restaurant,718 South Los Angeles Street,+1 213-418-9588,hello@eatbrokenmouth.com,,https://www.eatbrokenmouth.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,386
58,sandcouch cafe,cafe,restaurant,555 West 7th Street,+1 213-721-0800,jmpark@sandcouchcafe.com,,https://www.sandcouchcafe.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,188
58,Alibi Coffee,cafe,restaurant,1798 West Washington Boulevard,+1 310-951-9929,,,https://alibicoffeecompany.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,178
58,Hannam Chain Supermarket,supermarket,retail,2740 West Olympic Boulevard,+1-213-382-2922,,,https://www.hannamchainusa.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,112
58,Coffee M.CO,cafe,restaurant,2580 West Olympic Boulevard,+1-213-674-7381,hello@coffeemco.com,,https://coffeemco.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,862
67,Wokcano,restaurant,restaurant,,,info@wokcanorestaurant.com,,https://wokcanorestaurant.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,512
67,Image Gear USA,clothes,retail,106 East 17th Street,+1-626-705-6161,,,https://imagegearusa.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,630
67,TBLA Catering & Cafe,restaurant,restaurant,765 Santee Street,,,team@serpnames.com,https://www.tblacaters.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,1154
67,Terroni,restaurant,restaurant,802 South Spring Street,,,,https://www.terroni.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,250
67,Konnect Agency,advertising_agency,service,888 Figueroa Street,+1-213-988-8344,,,https://www.konnectagency.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,52
67,The Loft Company,yes,service,,,,,https://www.theloftcompanyla.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,277
67,DISTRICT,restaurant,restaurant,700 West 7th Street,,,,https://www.districtdtla.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,212
67,Sol Agave,restaurant,restaurant,800 West Olympic Boulevard,+1 213-536-5287,,,https://www.solagave.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,244
67,All Phase Electrical Contractors,electrician,service,1814 1/2 5th Avenue,+1 323-734-8815,,,https://allphaseelect.net/,their site takes 2.9s to respond before anything renders,Local business listing data,2875
67,Velo Coffee,cafe,restaurant,735 South Figueroa Street,+1-323-815-7749,,,https://www.lavelocoffee.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,157
67,Shekarchi Bar & Grill,restaurant,restaurant,920 South Olive Street,+1-213-892-8535,,,https://shekarchirestaurant.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,163
67,LA Mart,retail,service,1933 South Broadway,+1 800-526-2784,,,https://www.lamart.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,345
67,Virtu Coffee,cafe,restaurant,1201 South Flower Street,+1-310-208-9351,,,https://www.virtucoffee.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,504
67,Manas Indian Cuisine,restaurant,restaurant,2823 S Vermont Ave,,,,https://manasla.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,158
67,Bruxie,restaurant,restaurant,3201 South Hoover Street,,,,https://www.bruxie.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,111
67,Bo Daddy's BBQ,restaurant,restaurant,1415 South Hill Street,+1-213-536-5210,,,https://www.bodaddys.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch,263
67,Mona Pasta Bar,restaurant,restaurant,111 West 9th Street,+1-213-814-0094,,,https://monapastabar.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,213
67,Exon Print,copyshop,service,975 South Vermont Avenue,+1-213-251-0069,,porto@portotheme.com,https://exonprint.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,1348
67,The Law Offices of Jack P. Lopez,lawyer,service,3003 West Olympic Boulevard,+1 323-898-8759,,,https://apps.calbar.ca.gov/attorney/LicenseeSearch/QuickSearch,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,312
67,Umeken,cosmetics,service,2716 West Olympic Boulevard,+1 213-389-3288,info@umekenusa.com,,https://www.umeken.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,1042
67,L.A. Care Health Plan,insurance,service,1200 West 7th Street,,,,https://www.lacare.org/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,129
67,Full Arepas,restaurant,restaurant,712 West 7th Street,+1-213-266-8364,,,https://fullarepasca.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Local business listing data,236
67,Bomme Studio,tailor,service,824 South Los Angeles Street,+1-323-744-9403,,,https://www.bommestudio.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,283
67,PHresh Juice Bar,supermarket,retail,1870 West Washington Boulevard,+1-323-915-1951,,,https://phreshjuicebar.xyz/,there is no tap-to-call number anywhere on their site,Tappable phone number,246
67,Yummy Lingerie,clothes,retail,334 East 12th Street,+1-323-570-9477,,,https://www.yummydtla.com/,there is no tap-to-call number anywhere on their site,Tappable phone number,248
67,FIGat7th,mall,service,,,,,https://www.figat7th.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,573
75,Marie's Coffee & Deli,cafe,restaurant,731 West 7th Street,+1-213-622-5283,,,https://mariescoffeedeli.com/,"there is no form, email, or phone link on their site at all",Tappable phone number; Way to get in touch; Local business listing data,137
75,Seven Grand Whiskey Bar,bar,restaurant,513 West 7th Street,,,,https://www.sevengrandbars.com/,"their site has no structured business data, so Google cannot show their hours or address in search results",Tappable phone number; Local business listing data,335
